Date,Author,Book,ISBN,Politician
2011,AbateMichelleAnn,RaisingYourKidsRight,813551730,
2011,AdamsJChristian,Injustice,1455112062,
2011,AngleSharron,RightAngle,1456754254,xxx
2012,ArnnLarry,TheFoundersKey,1595554726,
2011,BachmannMichele,CoreofConviction,1595230904,xxx
2011,BakerKendallClark,WhenFaithStormsthePublicSquare,1846945356,
2011,BakerRick,TheSeamlessCity,1596981970,xxx
2012,BeckGlenn,Broke,1451693443,
2012,BeckGlenn,Cowards,1451693478,
2012,BellJeffrey,TheCaseforPolarizedPolitics,1594035784,xxx
2011,BenoistAlainde,TheProblemofDemocracy,1907166165,
2011,BilaJedediah,Outnumbered,983576807,
2011,BlackwellKen,Resurgent,1451629265,
2011,BlitzMark,ConservingLiberty,817914242,
2011,BogusCarlT,Buckley,1596915803,
2012,BorelliDeneen,Blacklash,1451642865,
2011,BowenMichael,TheRootsofModernConservatism,807834858,
2011,BreitbartAndrew,RighteousIndignation,446572829,
2012,BrodyDavid,TheTeavangelicals,310335612,
2011,BrownScott,AgainstAllOdds,62015540,xxx
2011,BuchananPatrickJ,SuicideofaSuperpower,1427210357,xxx
2012,BuckleyWilliamF,AthwartHistory,159403608X,
2011,CainHerman,TheyThinkYoureStupid,979646278,
2011,ChafetsZev,RushLimbaughAnArmyofOne,1595230815,
2012,CoburnTom,MoneyForNothing,1477622586,xxxx
2011,CorsiJerome,HowObamaCanBeDefeatedin2012,1936488396,
2011,CoulterAnn,Demonic,307353486,
2012,CrowleyMonica,WhattheBleepJustHappened,006213115X,
2012,CullenMike,WhinyLittleBitch,984544747,
2011,CuppSE,LosingOurReligion,1439176442,
2011,DanielsMitch,KeepingtheRepublic,1595230807,xxx
2012,DaughtryTimothy,WakingtheSleepingGiant,825306795,
2011,DeckerBrettM,BowingtoBeijing,1455119873,
2011,DelingpoleJames,365WaystoDriveaLiberalCrazy,1596986425,
2012,DeMintJim,NoworNever,1455511846,xx
2012,DohertyBrian,RonPaulsRevolution,62114794,
2012,DSouzaDinesh,ObamasAmerica,145516352X,
2011,DunnJR,DeathbyLiberalism,61873802,
2012,EbensteinLanny,TheIndispensableMiltonFriedman,1596988088,
2011,EhrlichRobert,TurnThisCarAround,1936661551,xxx
2012,FittonTom,TheCorruptionChronicles,1452658781,
2012,FoleyElizabethPrice,TheTeaParty,1107011353,
2012,ForbesSteve,FreedomManifesto,030795157X,
2011,FrazierMondo,TheSecretLifeofBarackHusseinObama,1451633181,
2011,FreddosoDavid,GangsterGovernment,144178019X,
2012,FreedmanAdam,TheNakedConstitution,62094637,
2012,FreemanKevinD,SecretWeapon,1455161039,
2011,FriedmanMarkD,NozicksLibertarianProject,1441170936,
2012,GagneTed,ThingsThatNeedtoBeSaid,1614347603,
2012,GallagherMike,50ThingsLiberalsLovetoHate,1442359358,
2012,GarciaGilbert,ReagansComeback,1595341420,
2012,GelernterDavid,AmericaLite,1594036063,
2012,GilderGeorge,WealthandPoverty,1596988096,
2012,GillespieNick,TheDeclarationofIndependents,1610391004,
2011,GingrichNewt,AmericaatRisk,1596981954,xxx
2011,GoegleinTimothyS,TheManintheMiddle,143367288X,xxx
2012,GoldblattMark,BumperStickerLiberalism,62135112,
2011,GoldmanDavid,HowCivilizationsDie,1455111716,
2011,GoldmanDavidP,ItsNottheEndoftheWorldItsJusttheEndofYou,1614122024,
2011,GottliebAlan,ShootingBlanks,093678363X,
2012,GrosecloseTim,LeftTurn,1250002761,
2011,HageeJohn,CanAmericaSurvive,1439190569,
2012,HandelKaren,PlannedBullyhood,1451697945,xx
2011,HarrisLee,TheNextAmericanCivilWar,230114237,
2012,HaywardStevenF,ThePoliticallyIncorrectGuidetothePresidents,1596987766,
2012,HewittHugh,TheBriefAgainstObama,1455516309,
2011,HicksMarybeth,DontLettheKidsDrinktheKoolAid,1596981512,
2012,HiggsRobert,DelusionsofPower,1598130455,
2012,HinesPhillip,MittRomneyinHisOwnWords,145168780X,
2011,HooverMargaret,AmericanIndividualism,307718158,
2011,HuckabeeMike,ASimpleGovernment,307881563,xxx
2011,IngrahamLaura,TheObamaDiaries,1439198454,
2011,JacksonKevin,SexyBrillianceandOtherPoliticalLies,1607465280,
2012,JacobsJake,Mobocracy,1469904411,
2011,JohnsonGreg,ConfessionsofaReluctantHater,1935965085,
2011,KerpenPhil,DemocracyDenied,1936661322,
2012,KeslerCharlesR,IAmtheChange,006207296X,
2012,KeslerCharlesR,LifeLibertyandthePursuitofHappiness,1442213337,
2012,KibbeMatt,HostileTakeover,62196014,
2011,KippenbergHans,ViolenceasWorship,804768730,
2011,KleinAaron,RedArmy,62069241,
2012,KleinAaron,FoolMeTwice,1470829711,
2012,KleinEdward,TheAmateurBarackObamaintheWhiteHouse,1455134775,
2012,KurtzmanDaniel,HowtoWinaFightWithaLiberal,1402265735,
2011,LeeMike,TheFreedomAgenda,1596982888,xxx
2012,LevinMarkR,Ameritopia,1439173249,
2012,LevinYuval,ATimeforGoverning,1594036578,
2011,LewisJason,PowerDividedisPowerChecked,1935098500,
