book_name,count,author,genre,isbn,isbn13,good_reads_url,num_pages,num_rating,avg_rating
The Hunger Games (The Hunger Games; #1),3777,Collins; Suzanne,fiction,0439023483,9780439023481,374,4145009.0,4.36
To Kill a Mockingbird,3370,Lee; Harper,fiction,0061120081,9780061120084,324,2805689.0,4.24
1984,3329,Orwell; George,fiction,0451524934,9780451524935,298,1735131.0,4.12
The Great Gatsby,3166,Fitzgerald; F. Scott,fiction,0743273567,9780743273565,192,2408626.0,3.87
Animal Farm,3106,Orwell; George,fiction,0452284244,9780452284241,102,1719115.0,3.83
Harry Potter and the Sorcerer's Stone (Harry Potter; #1),2995,Rowling; J.K.,fiction,0439554934,9780439554930,310,3837374.0,4.41
The Hobbit,2833,Tolkien; J.R.R.,fiction,0618260307,9780618260300,366,1906735.0,4.23
Catching Fire (The Hunger Games; #2),2746,Collins; Suzanne,fiction,0439023491,9780439023498,391,1812983.0,4.30
The Da Vinci Code (Robert Langdon; #2),2609,Brown; Dan,fiction,0307277674,9780307277671,481,1415479.0,3.76
Mockingjay (The Hunger Games; #3),2587,Collins; Suzanne,fiction,0439023513,9780439023511,392,1670345.0,4.03
The Catcher in the Rye,2542,Salinger; J.D.,fiction,0316769177,9780316769174,277,1844798.0,3.78
The Diary of a Young Girl,2508,Frank; Anne,fiction,0553296981,9780553296983,283,1743441.0,4.08
Angels & Demons  (Robert Langdon; #1),2385,Brown; Dan,fiction,1416524797,9781416524793,713,1733203.0,3.83
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics; #1),2348,Levitt; Steven D.,fiction,0061234001,9780061234002,320,492894.0,3.91
Atlas Shrugged,2291,Rand; Ayn,fiction,0452011876,9780452011878,"1,168",263030.0,3.67
Lord of the Flies,2267,Golding; William,fiction,0140283331,9780140283334,182,1450685.0,3.62
Unbroken: A World War II Story of Survival; Resilience; and Redemption,2205,Hillenbrand; Laura,fiction,1400064163,9781400064168,473,406184.0,4.43
The Fellowship of the Ring (The Lord of the Rings; #1),2166,Tolkien; J.R.R.,fiction,0618346252,9780618346257,398,1547018.0,4.32
Killing Lincoln: The Shocking Assassination that Changed America Forever,2110,O'Reilly; Bill,fiction,0805093079,9780805093070,324,60035.0,4.00
Of Mice and Men,2109,Steinbeck; John,fiction,0142000671,9780142000670,601,1332713.0,3.82
Harry Potter and the Chamber of Secrets (Harry Potter; #2),2103,Rowling; J.K.,fiction,0439064864,9780439064866,341,1599105.0,4.34
Harry Potter and the Deathly Hallows (Harry Potter; #7),2084,Rowling; J.K.,fiction,0545010225,9780545010221,759,1572046.0,4.59
Harry Potter and the Prisoner of Azkaban (Harry Potter; #3),2052,Rowling; J.K.,fiction,043965548X,9780439655484,435,1663459.0,4.50
The Girl with the Dragon Tattoo (Millennium; #1),2044,Larsson; Stieg,fiction,0307269752,9780307269751,465,1623997.0,4.09
The Lion; the Witch; and the Wardrobe (Chronicles of Narnia; #1),1999,Lewis; C.S.,fiction,0060764899,9780060764890,206,1306934.0,4.17
Harry Potter and the Goblet of Fire (Harry Potter; #4),1995,Rowling; J.K.,fiction,0439139600,9780439139601,734,1582848.0,4.50
Brave New World,1993,Huxley; Aldous,fiction,0060929871,9780060929879,268,923984.0,3.95
The Adventures of Huckleberry Finn (Tom Sawyer & Huckleberry Finn; #2),1990,Twain; Mark,fiction,0142437174,9780142437179,327,907641.0,3.79
The Kite Runner,1961,Hosseini; Khaled,fiction,1594480001,9781594480003,371,1614574.0,4.23
Harry Potter and the Half-Blood Prince (Harry Potter; #6),1941,Rowling; J.K.,fiction,0439785960,9780439785969,652,1528156.0,4.51
Harry Potter and the Order of the Phoenix (Harry Potter; #5),1936,Rowling; J.K.,fiction,0439358078,9780439358071,870,1602453.0,4.44
The Help,1909,Stockett; Kathryn,fiction,0399155341,9780399155345,451,1350666.0,4.45
The Tipping Point: How Little Things Can Make a Big Difference,1837,Gladwell; Malcolm,fiction,0316346624,9780316346627,301,410571.0,3.88
Twilight (Twilight; #1),1813,Meyer; Stephenie,fiction,0316015849,9780316015844,498,3383963.0,3.56
Decision Points,1800,Bush; George W.,non-fiction,0307590615,9780307590619,497,29403.0,3.76
Outliers: The Story of Success,1794,Gladwell; Malcolm,non-fiction,0316017922,9780316017923,309,319119.0,4.09
Ender's Game (The Ender Quintet; #1),1780,Card; Orson Scott,fiction,0812550706,9780812550702,324,755186.0,4.29
Pride and Prejudice,1761,Austen; Jane,fiction,0679783261,9780679783268,279,1839343.0,4.24
Romeo and Juliet,1746,Shakespeare; William,fiction,0743477111,9780743477116,283,1478398.0,3.73
The Amateur,1739,Klein; Edward,fiction,1596987855,9781596987852,256,4303.0,3.81
Steve Jobs,1672,Isaacson; Walter,non-fiction,1451648537,9781451648539,656,397909.0,4.09
John Adams,1582,McCullough; David,non-fiction,0743223136,9780743223133,751,177889.0,4.06
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy; #1),1573,Adams; Douglas,fiction,0345391802,9780345391803,216,913669.0,4.19
The Giver (The Giver; #1),1511,Lowry; Lois,fiction,0385732554,9780385732550,224,1232155.0,4.12
1776,1507,McCullough; David,fiction,0743226720,9780743226721,386,106526.0,4.06
