book_name,count,author,genre,isbn,isbn13,num_pages,num_rating,avg_rating
To Kill a Mockingbird,5221,Lee; Harper,fiction,0061120081,9780061120084,324,2800654.0,4.24
1984,5198,Orwell; George,fiction,0451524934,9780451524935,298,1732320.0,4.12
The Great Gatsby,5157,Fitzgerald; F. Scott,fiction,0743273567,9780743273565,192,2404927.0,3.87
Animal Farm,4844,Orwell; George,fiction,0452284244,9780452284241,102,1716358.0,3.83
The Catcher in the Rye,4688,Salinger; J.D.,fiction,0316769177,9780316769174,277,1842574.0,3.78
The Hunger Games (The Hunger Games; #1),4348,Collins; Suzanne,fiction,0439023483,9780439023481,374,4138136.0,4.36
Harry Potter and the Sorcerer's Stone (Harry Potter; #1),4020,Rowling; J.K.,fiction,0439554934,9780439554930,310,3830919.0,4.41
The Hobbit,3824,Tolkien; J.R.R.,fiction,0618260307,9780618260300,366,1904688.0,4.23
Brave New World,3760,Huxley; Aldous,fiction,0060929871,9780060929879,268,922649.0,3.95
Slaughterhouse-Five,3696,Vonnegut; Kurt,fiction,0385333846,9780385333849,215,777302.0,4.04
Lord of the Flies,3669,Golding; William,fiction,0140283331,9780140283334,182,1448865.0,3.62
The Da Vinci Code (Robert Langdon; #2),3539,Brown; Dan,fiction,0307277674,9780307277671,481,1414404.0,3.76
The Girl with the Dragon Tattoo (Millennium; #1),3517,Larsson; Stieg,fiction,0307269752,9780307269751,465,1621350.0,4.09
Fahrenheit 451,3456,Bradbury; Ray,fiction,0307347974,9780307347978,238,999049.0,3.96
Of Mice and Men,3437,Steinbeck; John,fiction,0142000671,9780142000670,601,1331107.0,3.82
Catching Fire (The Hunger Games; #2),3181,Collins; Suzanne,fiction,0439023491,9780439023498,391,1811103.0,4.30
The Kite Runner,3137,Hosseini; Khaled,non-fiction,1594480001,9781594480003,371,1612477.0,4.23
Mockingjay (The Hunger Games; #3),3064,Collins; Suzanne,fiction,0439023513,9780439023511,392,1668382.0,4.03
Harry Potter and the Prisoner of Azkaban (Harry Potter; #3),2898,Rowling; J.K.,fiction,043965548X,9780439655484,435,1661090.0,4.50
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics; #1),2891,Levitt; Steven D.,non-fiction,0061234001,9780061234002,320,492227.0,3.91
Harry Potter and the Chamber of Secrets (Harry Potter; #2),2891,Rowling; J.K.,fiction,0439064864,9780439064866,341,1596601.0,4.34
Gone Girl,2859,Flynn; Gillian,fiction,0297859382,9780297859383,399,1302729.0,4.00
Harry Potter and the Deathly Hallows (Harry Potter; #7),2822,Rowling; J.K.,fiction,0545010225,9780545010221,759,1569786.0,4.59
The Diary of a Young Girl,2778,Frank; Anne,non-fiction,0553296981,9780553296983,283,1740606.0,4.08
The Adventures of Huckleberry Finn (Tom Sawyer & Huckleberry Finn; #2),2777,Twain; Mark,fiction,0142437174,9780142437179,327,906621.0,3.79
Pride and Prejudice,2759,Austen; Jane,fiction,0679783261,9780679783268,279,1836165.0,4.24
Harry Potter and the Goblet of Fire (Harry Potter; #4),2750,Rowling; J.K.,fiction,0439139600,9780439139601,734,1580767.0,4.50
Harry Potter and the Half-Blood Prince (Harry Potter; #6),2739,Rowling; J.K.,fiction,0439785960,9780439785969,652,1526040.0,4.51
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy; #1),2712,Adams; Douglas,fiction,0345391802,9780345391803,216,912946.0,4.19
Harry Potter and the Order of the Phoenix (Harry Potter; #5),2667,Rowling; J.K.,fiction,0439358078,9780439358071,870,1600291.0,4.44
A Game of Thrones (A Song of Ice and Fire; #1),2649,Martin; George R.R.,fiction,0553588486,9780553588484,835,1161222.0,4.44
The Fellowship of the Ring (The Lord of the Rings; #1),2643,Tolkien; J.R.R.,fiction,0618346252,9780618346257,398,1544750.0,4.32
Life of Pi,2627,Martel; Yann,fiction,0770430074,9780770430078,356,948128.0,3.87
