,title,con.count,lib.count,fish.odds,fish.p,have?
743,Patriot Games (Jack Ryan Universe; #2),919,422,3.123765122,3.01E-91,
1387,The Runaway Jury,891,520,2.457394484,2.64E-62,X
1043,The Client,1112,686,2.325231066,4.36E-70,
1360,The Rainmaker,757,476,2.28038578,1.40E-46,
558,Killing Floor (Jack Reacher; #1),750,472,2.278428062,4.54E-46,X
1199,The Hunt for Red October (Jack Ryan Universe; #4),1287,840,2.198061674,1.72E-72,
1031,The Chamber,627,410,2.192486638,4.83E-36,
1187,The Host (The Host; #1),627,417,2.155664954,9.29E-35,
771,Prey (Crichton),663,450,2.112329418,4.00E-35,
1312,The Notebook (The Notebook; #1),900,611,2.112328303,3.58E-47,
120,Anthem,951,647,2.107934305,1.51E-49,X
1329,The Pelican Brief,1077,743,2.079003504,3.36E-54,
1267,The Magician's Nephew (Chronicles of Narnia; #6),789,553,2.045768829,9.57E-39,
774,Prince Caspian (Chronicles of Narnia; #2),727,513,2.031864388,2.57E-35,
1185,The Horse and His Boy (Chronicles of Narnia; #5),644,456,2.0247169,3.39E-31,
1228,The Last Battle (Chronicles of Narnia; #7),629,452,1.99501507,1.73E-29,
1417,The Silver Chair (Chronicles of Narnia; #4),601,435,1.980644463,7.51E-28,
1123,The Firm,1540,1117,1.978148101,2.08E-68,
1001,The Bourne Identity (Jason Bourne; #1),941,715,1.887132416,8.24E-38,
336,Eclipse (Twilight; #3),1069,816,1.878677458,2.71E-42,
178,Breaking Dawn (Twilight; #4),1040,804,1.854920829,8.51E-40,
65,A Time to Kill (Jake Brigance; #1),1460,1135,1.845253697,1.92E-54,
688,New Moon (Twilight; #2),1115,877,1.823234165,1.35E-40,
1502,The Voyage of the Dawn Treader (Chronicles of Narnia; #3),773,612,1.81079713,3.48E-28,
1549,Timeline,792,634,1.790937814,6.22E-28,X
727,One for the Money (Stephanie Plum; #1),599,482,1.78137351,2.99E-21,
243,Congo,659,544,1.73650096,1.59E-21,X
1281,The Maze Runner (Maze Runner; #1),569,472,1.72793369,1.59E-18,
1359,The Racketeer,530,445,1.707090755,8.93E-17,
892,Sphere,663,557,1.706250651,1.30E-20,X
1250,The Litigators,495,418,1.697292934,1.83E-15,
1248,The Lincoln Lawyer (Mickey Haller; #1; Harry Bosch World; #16),560,473,1.696977174,2.61E-17,
289,Deception Point,904,767,1.68979096,1.22E-26,
1249,The Lion; the Witch; and the Wardrobe (Chronicles of Narnia; #1),1999,1698,1.689239041,9.51E-57,X
1261,The Lost World (Jurassic Park; #2),506,436,1.663377336,6.72E-15,
1246,The Lightning Thief (Percy Jackson and the Olympians; #1),841,735,1.640349262,1.33E-22,
352,Eragon (The Inheritance Cycle; #1),828,737,1.61056864,5.49E-21,
302,Digital Fortress,785,701,1.605291119,9.96E-20,X
1562,Treasure Island,1073,961,1.600897837,3.73E-26,
1573,Twilight (Twilight; #1),1869,1680,1.595962459,8.29E-44,
1608,Where the Red Fern Grows,690,631,1.567420191,3.79E-16,X
958,The Andromeda Strain,804,738,1.561697242,3.02E-18,X
92,Allegiant (Divergent; #3),732,675,1.554469396,1.64E-16,
380,Fifty Shades of Grey (Fifty Shades; #1),887,819,1.552594763,1.47E-19,
