,title,con.count,lib.count,fish.odds,fish.p,have?
102,Americanah,90,739,5.735342704,8.36E-83,
1542,This Is How You Lose Her,94,715,5.312783975,2.37E-76,
1522,The Wind-Up Bird Chronicle,118,794,4.700096177,1.74E-77,
1010,The Brief Wondrous Life of Oscar Wao,227,1439,4.430727728,1.48E-132,
1148,The God of Small Things,123,752,4.270247475,7.14E-68,
68,A Visit from the Goon Squad,191,1162,4.250960417,8.35E-104,
553,Kafka on the Shore,114,690,4.227242467,6.89E-62,
1613,White Noise,112,671,4.184160813,1.13E-59,
1276,The Marriage Plot,152,831,3.81871945,8.90E-68,
735,Oryx and Crake (MaddAddam; #1),179,926,3.613675368,2.66E-71,
705,Norwegian Wood,128,641,3.497204124,2.57E-48,
1384,The Round House,129,642,3.475505168,5.56E-48,
408,Freedom,261,1287,3.445596098,9.15E-94,
357,Everything Is Illuminated,149,735,3.445160115,2.90E-54,
578,Let the Great World Spin,145,706,3.40041529,1.89E-51,
1537,The Yiddish Policemen's Union,144,693,3.360929863,6.90E-50,
955,The Amazing Adventures of Kavalier & Clay,243,1167,3.355352687,1.12E-82,
1269,The Magicians (The Magicians; #1),137,648,3.303113594,7.59E-46,
1404,The Sense of an Ending,199,914,3.208192988,6.92E-62,
528,Interpreter of Maladies,171,756,3.087642636,2.93E-49,
989,The Bluest Eye,142,624,3.068648837,1.32E-40,X
1492,The Unbearable Lightness of Being,246,1038,2.947543609,3.73E-63,
1063,The Corrections,259,1092,2.94537472,2.68E-66,
965,The Art of Fielding,224,935,2.915557913,3.40E-56,
1040,The Circle,199,801,2.811139992,3.66E-46,
1517,The White Tiger,156,626,2.802138763,2.88E-36,
901,Station Eleven,254,1016,2.794079579,1.34E-57,
5,1Q84 (1Q84; #1-3),192,767,2.789868585,1.04E-43,
233,Cloud Atlas,295,1155,2.735162964,3.16E-63,
642,Middlesex,449,1741,2.710061405,2.86E-93,
164,Blindness,158,611,2.700310399,1.44E-33,
1303,The Namesake,222,837,2.633174696,6.61E-44,
484,High Fidelity,210,788,2.620573998,3.97E-41,
1630,Wolf Hall (Thomas Cromwell; #1),251,930,2.587885965,2.59E-47,
98,American Gods (American Gods; #1),371,1367,2.57441273,3.10E-68,
667,Mrs. Dalloway,180,661,2.5643175,1.15E-33,X
1279,The Master and Margarita,176,646,2.563052701,6.85E-33,
581,Life After Life,234,858,2.560830679,4.01E-43,
728,One Hundred Years of Solitude,527,1912,2.535946826,2.46E-92,
156,Beloved,315,1140,2.528111357,1.78E-55,X
407,Franny and Zooey,239,853,2.492607685,4.77E-41,
177,Breakfast of Champions,398,1391,2.441854267,1.18E-63,X
609,Love in the Time of Cholera,337,1175,2.435633934,7.28E-54,
1419,The Sirens of Titan,191,661,2.416587234,1.28E-30,X
900,State of Wonder,238,820,2.406147924,2.64E-37,
686,Never Let Me Go,339,1161,2.392364166,1.40E-51,
1319,The Orphan Master's Son,191,649,2.372679877,4.47E-29,
166,Blood Meridian; or the Evening Redness in the West,224,760,2.369348059,9.02E-34,X
1169,The Handmaid's Tale,657,2181,2.320598184,2.01E-90,
666,Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore; #1),238,740,2.171182659,3.75E-28,
1339,The Plague,240,745,2.167643363,3.86E-28,
